"requirement_id","classification","conformance_level","mvp_status","implementation_slice","notes"
"SH-DOC-002","Core","Standard","not_staged_for_mvp","",""
"SH-DOC-003","Core","Kernel","included","mvp-01",""
"SH-DOC-004","Core","Kernel","included","mvp-01",""
"SH-ARCH-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-ARCH-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-ARCH-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PKT-001","Core","Kernel","included","mvp-01",""
"SH-PKT-002","Core","Kernel","included","mvp-01",""
"SH-PKT-003","Core","Kernel","included","mvp-01",""
"SH-PKT-004","Core","Kernel","included","mvp-01",""
"SH-PKT-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PKT-006","Core","Kernel","not_staged_for_mvp","",""
"SH-PKT-007","Core","Kernel","included","mvp-01",""
"SH-PKT-008","Core","Kernel","included","mvp-01",""
"SH-PKT-009","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PKT-010","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PKT-011","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PKT-012","Core","Kernel","not_staged_for_mvp","",""
"SH-PKT-013","Core","Kernel","not_staged_for_mvp","",""
"SH-PKT-014","Core","Kernel","included","mvp-01",""
"SH-PKT-015","Core","Kernel","included","mvp-01",""
"SH-GATE-001","Core","Kernel","not_staged_for_mvp","",""
"SH-GATE-002","Core","Kernel","not_staged_for_mvp","",""
"SH-GATE-003","Core","Kernel","not_staged_for_mvp","",""
"SH-GATE-004","Core","Kernel","included","mvp-01",""
"SH-GATE-005","Core","Kernel","included","mvp-01",""
"SH-GATE-006","Core","Kernel","included","mvp-01",""
"SH-GATE-007","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-GATE-008","Core","Kernel","included","mvp-01",""
"SH-GATE-009","Core","Kernel","not_staged_for_mvp","",""
"SH-PRE-001","Core","Kernel","included","mvp-01",""
"SH-PRE-002","Core","Kernel","included","mvp-01",""
"SH-EV-001","Core","Kernel","included","mvp-01",""
"SH-EV-002","Core","Kernel","included","mvp-01",""
"SH-EV-003","Core","Kernel","included","mvp-01",""
"SH-EV-004","Core","Kernel","included","mvp-01",""
"SH-EV-005","Core","Kernel","included","mvp-01",""
"SH-EV-006","Core","Standard","not_staged_for_mvp","",""
"SH-EV-007","Core","Standard","not_staged_for_mvp","",""
"SH-EV-008","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-EV-009","Core","Standard","not_staged_for_mvp","",""
"SH-EV-010","Core","Standard","not_staged_for_mvp","",""
"SH-EV-011","Core","Standard","not_staged_for_mvp","",""
"SH-EV-012","Core","Kernel","included","mvp-01",""
"SH-EV-013","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-001","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-002","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-003","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-004","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-TEST-006","Core","Standard","not_staged_for_mvp","",""
"SH-TEST-007","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-008","Core","Standard","not_staged_for_mvp","",""
"SH-TEST-009","Core","Kernel","not_staged_for_mvp","",""
"SH-TEST-010","Core","Kernel","not_staged_for_mvp","",""
"SH-REV-001","Core","Kernel","not_staged_for_mvp","",""
"SH-REV-002","Core","Kernel","not_staged_for_mvp","",""
"SH-REV-003","Core","Kernel","not_staged_for_mvp","",""
"SH-REV-004","Core","Advanced","not_staged_for_mvp","",""
"SH-REV-005","Core","Kernel","not_staged_for_mvp","",""
"SH-REV-006","Core","Advanced","not_staged_for_mvp","",""
"SH-REV-007","Core","Advanced","not_staged_for_mvp","",""
"SH-REV-008","Core","Kernel","not_staged_for_mvp","",""
"SH-REV-009","Core","Kernel","not_staged_for_mvp","",""
"SH-AGENT-001","Core","Kernel","included","mvp-01",""
"SH-AGENT-002","Core","Kernel","included","mvp-01",""
"SH-AGENT-003","Core","Kernel","included","mvp-01",""
"SH-AGENT-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-AGENT-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-AGENT-006","Core","Kernel","included","mvp-01",""
"SH-AGENT-007","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-AGENT-008","Core","Kernel","included","mvp-01",""
"SH-AGENT-009","Core","Kernel","included","mvp-01",""
"SH-WF-001","Core","unmapped_review_required","deferred","post-mvp","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-003","Extension","Advanced","not_staged_for_mvp","",""
"SH-WF-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-006","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-007","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-008","Core","Advanced","not_staged_for_mvp","",""
"SH-WF-009","Core","Advanced","not_staged_for_mvp","",""
"SH-WF-010","Core","Advanced","not_staged_for_mvp","",""
"SH-WF-011","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-WF-012","Core","Advanced","not_staged_for_mvp","",""
"SH-PM-001","Extension","Advanced","deferred","post-mvp",""
"SH-PM-002","Extension","Advanced","deferred","post-mvp",""
"SH-PM-003","Extension","Advanced","deferred","post-mvp",""
"SH-PM-004","Extension","Advanced","not_staged_for_mvp","",""
"SH-PM-005","Extension","Advanced","not_staged_for_mvp","",""
"SH-PM-006","Extension","Advanced","not_staged_for_mvp","",""
"SH-PM-007","Extension","Advanced","deferred","post-mvp",""
"SH-PM-008","Extension","Advanced","deferred","post-mvp",""
"SH-HUMAN-001","Core","Kernel","included","mvp-01",""
"SH-HUMAN-002","Core","Kernel","included","mvp-01",""
"SH-HUMAN-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-HUMAN-004","Core","Kernel","included","mvp-01",""
"SH-HUMAN-005","Core","Kernel","included","mvp-01",""
"SH-HUMAN-006","Core","Kernel","not_staged_for_mvp","",""
"SH-HUMAN-007","Core","High-Integrity","deferred","post-mvp",""
"SH-HUMAN-008","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SEC-001","Core","Standard","not_staged_for_mvp","",""
"SH-SEC-002","Core","Standard","not_staged_for_mvp","",""
"SH-SEC-003","Core","Standard","not_staged_for_mvp","",""
"SH-SEC-004","Core","Standard","not_staged_for_mvp","",""
"SH-SEC-005","Core","Standard","not_staged_for_mvp","",""
"SH-SEC-006","Core","Standard","not_staged_for_mvp","",""
"SH-UX-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-UX-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-UX-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-UX-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-UXOPS-001","Core","Kernel","included","mvp-01",""
"SH-UXOPS-002","Core","Kernel","included","mvp-01",""
"SH-MEM-001","Core","Standard","not_staged_for_mvp","",""
"SH-MEM-002","Core","Standard","not_staged_for_mvp","",""
"SH-MEM-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-MEM-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-MEM-005","Core","Standard","not_staged_for_mvp","",""
"SH-MEM-006","Core","Standard","not_staged_for_mvp","",""
"SH-CTX-001","Core","Standard","not_staged_for_mvp","",""
"SH-CTX-002","Core","Standard","not_staged_for_mvp","",""
"SH-CTX-003","Core","Standard","not_staged_for_mvp","",""
"SH-CTX-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-CTX-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-CTX-006","Core","Standard","not_staged_for_mvp","",""
"SH-CTX-007","Core","Standard","included","mvp-01",""
"SH-CTX-008","Core","Standard","not_staged_for_mvp","",""
"SH-CTX-009","Core","Standard","not_staged_for_mvp","",""
"SH-SKILL-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SKILL-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SKILL-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SKILL-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-DEP-001","Core","Standard","not_staged_for_mvp","",""
"SH-DEP-002","Core","Standard","not_staged_for_mvp","",""
"SH-DEP-003","Core","Standard","not_staged_for_mvp","",""
"SH-DEP-004","Core","Standard","not_staged_for_mvp","",""
"SH-IP-001","Core","Standard","not_staged_for_mvp","",""
"SH-ADAPT-001","Core","Kernel","included","mvp-01",""
"SH-ADAPT-002","Core","Kernel","included","mvp-01",""
"SH-ADAPT-003","Core","Kernel","partial","mvp-01","MVP partial: manifest validation, output envelope parsing, state-mutation boundary, mock-success rejection, and basic failed or partial output classification only."
"SH-ADAPT-004","Core","Kernel","included","mvp-01",""
"SH-ADAPT-005","Core","Kernel","included","mvp-01",""
"SH-ADAPT-006","Core","Kernel","included","mvp-01",""
"SH-ADAPT-007","Core","Kernel","included","mvp-01",""
"SH-ADAPT-010","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-ADAPT-008","Core","Advanced","not_staged_for_mvp","",""
"SH-ADAPT-009","Extension","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-ADAPT-011","Core","Advanced","not_staged_for_mvp","",""
"SH-ADAPT-012","Core","Advanced","not_staged_for_mvp","",""
"SH-INSTALL-001","Core","Standard","included","mvp-01",""
"SH-MIG-001","Core","Standard","not_staged_for_mvp","",""
"SH-UPG-001","Core","Standard","not_staged_for_mvp","",""
"SH-POLICY-001","Core","Standard","not_staged_for_mvp","",""
"SH-DEGRADE-001","Core","Kernel","included","mvp-01",""
"SH-SELF-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SELF-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SELF-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SELF-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SELF-005","Core","unmapped_review_required","included","mvp-01","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-DOG-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-DOG-002","Core","Standard","included","mvp-01",""
"SH-DOG-003","Core","Standard","included","mvp-01",""
"SH-DOG-004","Core","Standard","included","mvp-01",""
"SH-EVAL-001","Core","Standard","included","mvp-01",""
"SH-PROFILE-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PROFILE-002","Extension","Advanced","deferred","post-mvp",""
"SH-PROFILE-003","Extension","Advanced","deferred","post-mvp",""
"SH-PROFILE-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-PROFILE-005","Core","Advanced","not_staged_for_mvp","",""
"SH-DATA-001","Extension","Advanced","deferred","post-mvp",""
"SH-OPS-001","Core","Kernel","included","mvp-01",""
"SH-OPS-002","Core","Kernel","included","mvp-01",""
"SH-OPS-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NFR-001","Extension","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NFR-002","Extension","High-Integrity","deferred","post-mvp",""
"SH-NFR-003","Core","High-Integrity","deferred","post-mvp",""
"SH-NFR-004","Extension","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NFR-005","Core","High-Integrity","not_staged_for_mvp","",""
"SH-NFR-006","Extension","High-Integrity","not_staged_for_mvp","",""
"SH-INHERIT-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-INHERIT-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-INHERIT-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-INHERIT-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-003","Core","unmapped_review_required","not_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-006","Core","unmapped_review_required","not_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-NONGOAL-007","Core","unmapped_review_required","included","mvp-01","Not assigned in grouped conformance map; must be classified before implementation planning."
